Trial,W1_Mean,W1_Std,W2_Mean,W2_Std,Motor_Spikes,Sensor_A_Spikes,Sensor_B_Spikes
0,0.802360,0.000594,0.062382,0.029340,2400,1035,782
1,1.133926,0.001788,0.054202,0.026701,2400,1163,776
2,1.335218,0.002394,0.053960,0.022924,2400,1120,775
3,1.826368,0.002994,0.056165,0.021216,2400,1096,771
4,1.687634,0.003618,0.063101,0.021435,2400,1147,803
5,1.719548,0.003892,0.052616,0.017769,2400,1152,805
6,1.814133,0.004086,0.048583,0.017245,2400,1140,789
7,2.238518,0.104212,0.025894,0.017936,2400,1129,803
8,2.114116,0.020716,0.073110,0.008133,2400,1355,776
9,2.151200,0.011712,0.081551,0.008344,2400,1385,776
10,2.575300,0.074384,0.032578,0.010227,2400,1083,815
11,2.426236,0.031080,0.044130,0.003982,2400,1183,808
12,2.795444,0.028705,0.046836,0.003743,2400,1194,762
13,2.609256,0.031291,0.063457,0.005130,2400,1155,804
14,2.623440,0.032641,0.043648,0.003640,2400,1163,776
15,3.046477,0.046246,0.011185,0.005201,2400,1105,804
16,3.201766,0.087510,0.022573,0.006914,2400,1058,815
17,2.970148,0.033600,0.049806,0.000700,2400,1140,787
18,2.967813,0.041023,0.053893,0.001612,2400,1153,776
19,3.391124,0.047709,0.057529,0.002095,2400,1037,781
20,3.566468,0.050471,0.023743,0.002293,2400,1080,785
21,3.650388,0.051557,0.051152,0.000305,2400,1127,772
22,3.701149,0.052073,0.048132,0.000562,2400,1050,771
23,3.739770,0.052277,0.041633,0.000319,2400,1177,767
24,3.773920,0.052146,0.037182,0.009847,2400,1137,794
25,3.806099,0.051903,0.041744,0.003559,2400,1125,771
26,3.496042,0.051872,0.039644,0.002264,2400,1142,777
27,3.799371,0.074925,0.013101,0.004011,2400,1113,812
28,3.932324,0.076003,0.051123,0.003348,2400,1179,808
29,3.667569,0.053577,0.046473,0.001997,2400,1158,776
30,3.940754,0.123575,0.050080,0.007439,2400,1141,813
31,3.783190,0.051804,0.064553,0.003223,2400,1319,783
32,4.149628,0.056861,0.040120,0.009241,2400,1139,823
33,3.962667,0.064338,0.035909,0.002825,2400,1132,775
34,3.976760,0.067646,0.037061,0.002559,2400,1161,776
35,4.064853,0.068966,0.037419,0.002390,2400,1161,793
36,4.521578,0.069371,0.039292,0.002323,2400,1047,781
37,4.367814,0.069484,0.037928,0.000202,2400,1179,793
38,4.393866,0.069470,0.060114,0.000164,2400,1307,771
39,4.486313,0.069485,0.041472,0.000274,2400,1176,817
40,4.914011,0.067464,0.036864,0.005168,2400,1039,814
41,4.701236,0.037405,0.036764,0.000212,2400,1133,779
42,4.731514,0.046636,0.036553,0.000899,2400,1166,793
43,4.820795,0.032726,0.059263,0.000381,2400,1330,781
44,4.930701,0.004861,0.041201,0.000479,2400,1184,793
45,5.000000,0.000000,0.035972,0.000456,2400,1176,806
46,4.993964,0.042678,0.010470,0.003679,2400,1079,815
47,4.946910,0.007544,0.021158,0.001364,2400,1113,813
48,4.913084,0.012397,0.054113,0.004449,2400,1143,763
49,4.558011,0.004891,0.076455,0.000904,2400,1289,782
